anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1986,Grupo A,Argentina,1,5,3,2,1,0,6,2,4,1
1986,Grupo A,Italia,2,4,3,1,2,0,5,4,1,1
1986,Grupo A,Bulgaria,3,2,3,0,2,1,2,4,-2,1
1986,Grupo A,Corea del Sur,4,1,3,0,1,2,4,7,-3,0
1986,Grupo B,México,1,5,3,2,1,0,4,2,2,1
1986,Grupo B,Paraguay,2,4,3,1,2,0,4,3,1,1
1986,Grupo B,Bélgica,3,3,3,1,1,1,5,5,0,1
1986,Grupo B,Iraq,4,0,3,0,0,3,1,4,-3,0
1986,Grupo C,URSS,1,5,3,2,1,0,9,1,8,1
1986,Grupo C,Francia,2,5,3,2,1,0,5,1,4,1
1986,Grupo C,Hungría,3,2,3,1,0,2,2,9,-7,0
1986,Grupo C,Canadá,4,0,3,0,0,3,0,5,-5,0
1986,Grupo D,Brasil,1,6,3,3,0,0,5,0,5,1
1986,Grupo D,España,2,4,3,2,0,1,5,2,3,1
1986,Grupo D,Irlanda del Norte,3,1,3,0,1,2,2,6,-4,0
1986,Grupo D,Argelia,4,1,3,0,1,2,1,5,-4,0
1986,Grupo E,Dinamarca,1,6,3,3,0,0,9,1,8,1
1986,Grupo E,Alemania Occidental,2,3,3,1,1,1,3,4,-1,1
1986,Grupo E,Uruguay,3,2,3,0,2,1,2,7,-5,1
1986,Grupo E,Escocia,4,1,3,0,1,2,1,3,-2,0
1986,Grupo F,Marruecos,1,4,3,1,2,0,3,1,2,1
1986,Grupo F,Inglaterra,2,3,3,1,1,1,3,1,2,1
1986,Grupo F,Polonia,3,3,3,1,1,1,1,3,-2,1
1986,Grupo F,Portugal,4,2,3,1,0,2,2,4,-2,0
1990,Grupo A,Italia,1,6,3,3,0,0,4,0,4,1
1990,Grupo A,Checoslovaquia,2,4,3,2,0,1,6,3,3,1
1990,Grupo A,Austria,3,2,3,1,0,2,2,3,-1,0
1990,Grupo A,Estados Unidos,4,0,3,0,0,3,2,8,-6,0
1990,Grupo B,Camerún,1,4,3,2,0,1,3,5,-2,1
1990,Grupo B,Rumania,2,3,3,1,1,1,4,3,1,1
1990,Grupo B,Argentina,3,3,3,1,1,1,3,2,1,1
1990,Grupo B,URSS,4,2,3,1,0,2,4,4,0,0
1990,Grupo C,Brasil,1,6,3,3,0,0,4,1,3,1
1990,Grupo C,Costa Rica,2,4,3,2,0,1,3,2,1,1
1990,Grupo C,Escocia,3,2,3,1,0,2,2,3,-1,0
1990,Grupo C,Suecia,4,0,3,0,0,3,3,6,-3,0
1990,Grupo D,Alemania Occidental,1,5,3,2,1,0,10,3,7,1
1990,Grupo D,Yugoslavia,2,4,3,2,0,1,6,5,1,1
1990,Grupo D,Colombia,3,3,3,1,1,1,3,2,1,1
1990,Grupo D,Emiratos Arabes,4,0,3,0,0,3,2,11,-9,0
1990,Grupo E,España,1,5,3,2,1,0,5,2,3,1
1990,Grupo E,Bélgica,2,4,3,2,0,1,6,3,3,1
1990,Grupo E,Uruguay,3,3,3,1,1,1,2,3,-1,1
1990,Grupo E,Corea del Sur,4,0,3,0,0,3,1,6,-5,0
1990,Grupo F,Inglaterra,1,4,3,1,2,0,2,1,1,1
1990,Grupo F,Irlanda,2,3,3,0,3,0,2,2,0,1
1990,Grupo F,Países Bajos,3,3,3,0,3,0,2,2,0,1
1990,Grupo F,Egipto,4,2,3,0,2,1,1,2,-1,0
1994,Grupo A,Rumania,1,6,3,2,0,1,5,5,0,1
